Name,Score,Price,Design,Reason
Emily,70,60,70,If it was a more neutral color she might buy it for gym trips
Michael,30,40,30,Doesn't suit his style or IT work needs
Sarah,70,50,65,If it was more affordable and in a trendier color
David,10,20,10,No need for athletic wear
Alex,80,65,85,If it came in unique color combinations
Carlos,40,50,40,Not aligned with his lifestyle or professional image
Lisa,50,50,40,Doesn't fit her practical family-focused lifestyle
Brandon,40,30,30,Doesn't align with his practical work needs
Katie,85,75,90,
Sean,10,20,10,Not aligned with his priorities
