Name,Score,Price,Design,Reason
Emily,30,40,30,
Michael,80,90,90,If the product was advertised as a comfortable layer for work and home he would buy it
Sarah,40,50,40,
David,60,70,70,If it was endorsed by someone he trusted he'd buy it
Alex,85,90,85,
Carlos,80,90,85,If the product was a symbol of leading a team and representing his ideals he would buy it
Lisa,70,80,75,If the product was comfortable for both indoors and outdoors she would buy it
Brandon,90,90,90,
Katie,90,90,90,
Sean,70,80,80,If the product was warm and comfortable he would buy it
