Name,Product,Score,Price,Design,Reason
Emily,UA Unstoppable Fleece Grid Full-Zip,40,50,30,
Michael,UA Unstoppable Fleece Grid Full-Zip,70,60,75,"If the jacket had reinforced elbows for durability, I would buy it."
Sarah,UA Unstoppable Fleece Grid Full-Zip,50,40,60,
David,UA Unstoppable Fleece Grid Full-Zip,30,40,30,
Alex,UA Unstoppable Fleece Grid Full-Zip,80,60,90,
Carlos,UA Unstoppable Fleece Grid Full-Zip,50,40,60,
Lisa,UA Unstoppable Fleece Grid Full-Zip,40,50,40,
Brandon,UA Unstoppable Fleece Grid Full-Zip,70,75,70,"If the jacket was water-resistant, I would buy it."
Katie,UA Unstoppable Fleece Grid Full-Zip,80,70,80,
Sean,UA Unstoppable Fleece Grid Full-Zip,40,50,40,
