Name,Product,Score,Price,Design,Reason
Emily,Men's UA Unstoppable Tapered Pants,75,65,80,"If they were more tailored and versatile, she would consider them for casual Fridays or remote work."
Michael,Men's UA Unstoppable Tapered Pants,70,70,70,"If the pants had more pockets and were more durable, he would consider them for casual wear."
Sarah,Men's UA Unstoppable Tapered Pants,85,70,85,
David,Men's UA Unstoppable Tapered Pants,30,40,20,
Alex,Men's UA Unstoppable Tapered Pants,70,75,80,"If the pants came in unique color palettes, they would buy it."
Carlos,Men's UA Unstoppable Tapered Pants,65,60,70,"If the pants were made with sustainable materials, he would buy it."
Lisa,Men's UA Unstoppable Tapered Pants,40,60,40,
Brandon,Men's UA Unstoppable Tapered Pants,60,70,50,"If the pants were durable and offered protection, he would consider it."
Katie,Men's UA Unstoppable Tapered Pants,80,75,85,
Sean,Men's UA Unstoppable Tapered Pants,40,50,30,
