Name,Product,Score,Price,Design,Reason
Emily,Heavyweight Tonal Wordmark Long Sleeve,30,80,30,
Michael,Heavyweight Tonal Wordmark Long Sleeve,65,70,60,"If it was made from a more durable, tech-focused material he would buy it."
Sarah,Heavyweight Tonal Wordmark Long Sleeve,80,90,80,
David,Heavyweight Tonal Wordmark Long Sleeve,50,70,50,
Alex,Heavyweight Tonal Wordmark Long Sleeve,90,90,95,
Carlos,Heavyweight Tonal Wordmark Long Sleeve,50,60,50,
Lisa,Heavyweight Tonal Wordmark Long Sleeve,60,70,60,If the shirt was durable she would buy it.
Brandon,Heavyweight Tonal Wordmark Long Sleeve,90,90,85,
Katie,Heavyweight Tonal Wordmark Long Sleeve,80,90,85,
Sean,Heavyweight Tonal Wordmark Long Sleeve,50,50,60,
