Name,Product,Score,Price,Design,Reason
Emily,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,65,50,70,It needs to be more versatile for both work and workout settings.
Michael,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,20,30,30,
Sarah,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,85,70,90,
David,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,20,20,30,
Alex,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,90,70,90,
Carlos,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,40,40,40,
Lisa,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,50,50,50,
Brandon,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,30,40,30,
Katie,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,50,60,60,
Sean,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,20,20,30,
