Name,Product,Score,Price,Design,Reason
Emily,Unstoppable Fleece Hoodie,65,70,75,"If it was available in a bolder, more professional color she would buy it."
Michael,Unstoppable Fleece Hoodie,70,75,70,If the hoodie had more functional tech features he would buy it.
Sarah,Unstoppable Fleece Hoodie,90,85,95,
David,Unstoppable Fleece Hoodie,60,70,60,If the hoodie was available in more classic colors he would be more likely to buy it.
Alex,Unstoppable Fleece Hoodie,85,80,90,
Carlos,Unstoppable Fleece Hoodie,30,40,30,
Lisa,Unstoppable Fleece Hoodie,70,75,70,If the hoodie was stain-resistant she would be more likely to buy it.
Brandon,Unstoppable Fleece Hoodie,70,75,70,If the hoodie was more rugged he would be more likely to buy it.
Katie,Unstoppable Fleece Hoodie,80,80,80,
Sean,Unstoppable Fleece Hoodie,50,50,60,
