Name,Product,Score,Price,Design,Reason
Emily,Men's UA Icon Fleece Shorts,20,70,20,
Michael,Men's UA Icon Fleece Shorts,70,80,70,"If the shorts were more durable and practical for outdoor activities, he would buy it."
Sarah,Men's UA Icon Fleece Shorts,90,80,90,
David,Men's UA Icon Fleece Shorts,5,20,5,
Alex,Men's UA Icon Fleece Shorts,80,80,80,"If the shorts were a more unique texture, they would buy it."
Carlos,Men's UA Icon Fleece Shorts,30,40,30,
Lisa,Men's UA Icon Fleece Shorts,30,50,30,
Brandon,Men's UA Icon Fleece Shorts,60,70,60,"If the shorts were more durable for work, he would buy it."
Katie,Men's UA Icon Fleece Shorts,70,70,70,"If the shorts were made from sustainable materials, she would buy them."
Sean,Men's UA Icon Fleece Shorts,10,20,10,
