Name,Product,Score,Price,Design,Reason
Emily,Unisex UA SlipSpeed Mega Fade Shoes,70,60,80,"If it was available in more professional colors, she would consider it for athleisure wear."
Michael,Unisex UA SlipSpeed Mega Fade Shoes,40,50,30,
Sarah,Unisex UA SlipSpeed Mega Fade Shoes,90,80,90,
David,Unisex UA SlipSpeed Mega Fade Shoes,20,30,10,
Alex,Unisex UA SlipSpeed Mega Fade Shoes,80,70,90,
Carlos,Unisex UA SlipSpeed Mega Fade Shoes,60,50,70,If there was data suggesting the shoes improved productivity he would consider it.
Lisa,Unisex UA SlipSpeed Mega Fade Shoes,30,40,30,
Brandon,Unisex UA SlipSpeed Mega Fade Shoes,40,40,30,
Katie,Unisex UA SlipSpeed Mega Fade Shoes,60,60,70,"If the shoes had verified customer reviews discussing its comfort, she may consider it."
Sean,Unisex UA SlipSpeed Mega Fade Shoes,30,40,20,
