Name,Product,Score,Price,Design,Reason
Emily,UA Unstoppable Fleece Hoodie,60,70,75,"If the hoodie came in brighter, more fashionable colors, I would buy it."
Michael,UA Unstoppable Fleece Hoodie,20,30,20,
Sarah,UA Unstoppable Fleece Hoodie,80,80,85,
David,UA Unstoppable Fleece Hoodie,50,60,50,
Alex,UA Unstoppable Fleece Hoodie,80,70,90,
Carlos,UA Unstoppable Fleece Hoodie,30,40,30,
Lisa,UA Unstoppable Fleece Hoodie,75,80,75,"If the hoodie was stain-resistant, I would buy it."
Brandon,UA Unstoppable Fleece Hoodie,70,80,70,"If the hoodie had reinforced seams for durability, I would buy it."
Katie,UA Unstoppable Fleece Hoodie,80,70,80,
Sean,UA Unstoppable Fleece Hoodie,60,70,60,"If the hoodie was made from sustainably sourced materials, I would buy it."
