Name,Product,Score,Price,Design,Reason
Emily,Men's UA Left Chest Logo Short Sleeve,70,85,60,A wider range of colors that are more appropriate for casual Friday would make this a worthwhile purchase.
Michael,Men's UA Left Chest Logo Short Sleeve,95,95,85,
Sarah,Men's UA Left Chest Logo Short Sleeve,95,100,90,
David,Men's UA Left Chest Logo Short Sleeve,70,80,60,A recommendation from my son is what would make me more likely to buy this.
Alex,Men's UA Left Chest Logo Short Sleeve,60,80,50,A unique collaboration with an independent artist or designer is what would make me buy this.
Carlos,Men's UA Left Chest Logo Short Sleeve,90,95,90,
Lisa,Men's UA Left Chest Logo Short Sleeve,80,90,70,"If it had more color options that were family-friendly, I would instantly buy."
Brandon,Men's UA Left Chest Logo Short Sleeve,90,100,70,
Katie,Men's UA Left Chest Logo Short Sleeve,90,90,80,
Sean,Men's UA Left Chest Logo Short Sleeve,70,80,60,"If I received a direct recommendation from a colleague in my field, I would consider buying."
