Name,Product,Score,Price,Design,Reason
Emily,Unisex UA SpeedForm Gemini Running Shoes,70,60,80,"If it had better reviews for long-distance running, she would consider it."
Michael,Unisex UA SpeedForm Gemini Running Shoes,60,55,60,"If the shoes were specifically recommended by running experts, he would consider them."
Sarah,Unisex UA SpeedForm Gemini Running Shoes,85,70,85,
David,Unisex UA SpeedForm Gemini Running Shoes,20,30,10,
Alex,Unisex UA SpeedForm Gemini Running Shoes,80,70,90,
Carlos,Unisex UA SpeedForm Gemini Running Shoes,50,50,60,
Lisa,Unisex UA SpeedForm Gemini Running Shoes,30,40,30,
Brandon,Unisex UA SpeedForm Gemini Running Shoes,40,40,30,
Katie,Unisex UA SpeedForm Gemini Running Shoes,60,60,70,"If the shoes were lightweight, she may consider it."
Sean,Unisex UA SpeedForm Gemini Running Shoes,30,40,20,
