Name,Product,Score,Price,Design,Reason
Emily,Sweater (Cool winter looks),65,70,75,"If the sweater had a modern fit, Emily would purchase it."
Michael,Sweater (Cool winter looks),35,80,30,
Sarah,Sweater (Cool winter looks),95,85,95,
David,Sweater (Cool winter looks),50,60,40,
Alex,Sweater (Cool winter looks),95,75,95,
Carlos,Sweater (Cool winter looks),25,80,20,
Lisa,Sweater (Cool winter looks),70,80,70,"If the sweater was easy to care for, Lisa would purchase it."
Brandon,Sweater (Cool winter looks),60,70,50,"If the sweater was durable, Brandon would purchase it."
Katie,Sweater (Cool winter looks),85,80,85,
Sean,Sweater (Cool winter looks),25,70,20,
