Name,Product,Score,Price,Design,Reason
Emily,Celsius Playa Vibe,75,65,85,"If the drink had more endorsements from health and wellness influencers, she would buy it."
Michael,Celsius Playa Vibe,50,40,60,
Sarah,Celsius Playa Vibe,80,90,95,
David,Celsius Playa Vibe,20,30,20,
Alex,Celsius Playa Vibe,85,70,90,
Carlos,Celsius Playa Vibe,60,50,70,"If the drink had more documented data on productivity and health, he would buy it."
Lisa,Celsius Playa Vibe,70,80,75,"If the drink had clearer information on safe consumption for parents, she would buy it."
Brandon,Celsius Playa Vibe,40,60,50,
Katie,Celsius Playa Vibe,80,85,80,
Sean,Celsius Playa Vibe,30,20,30,
