Name,Product,Score,Price,Design,Reason
Emily,Playa Vibe,70,65,85,"If it had more detailed information about the health benefits and ingredients, she would buy it."
Michael,Playa Vibe,50,40,30,
Sarah,Playa Vibe,85,90,90,
David,Playa Vibe,30,20,20,
Alex,Playa Vibe,90,75,95,
Carlos,Playa Vibe,65,50,70,He might buy it if there was data supporting its energy and health benefits.
Lisa,Playa Vibe,40,70,50,
Brandon,Playa Vibe,50,60,50,
Katie,Playa Vibe,75,70,80,She would buy it if there were verified reviews about the quality and effectiveness of the product for remote work.
Sean,Playa Vibe,20,10,10,
