Name,Product,Score,Price,Design,Reason
Emily,Men's UA Phantom 1 Shoes,60,60,60,I would consider buying these shoes if they were a more neutral color that would work with my professional attire.
Michael,Men's UA Phantom 1 Shoes,40,40,30,N/A
Sarah,Men's UA Phantom 1 Shoes,85,70,80,
David,Men's UA Phantom 1 Shoes,20,30,20,N/A
Alex,Men's UA Phantom 1 Shoes,80,70,70,"If they collaborated with an independent artist on the design, they would be an instant buy."
Carlos,Men's UA Phantom 1 Shoes,40,30,30,N/A
Lisa,Men's UA Phantom 1 Shoes,30,30,20,N/A
Brandon,Men's UA Phantom 1 Shoes,20,20,10,N/A
Katie,Men's UA Phantom 1 Shoes,50,40,50,N/A
Sean,Men's UA Phantom 1 Shoes,20,30,20,N/A
