Name,Product,Score,Price,Design,Reason
Emily,Unstoppable Fleece Grid Full-Zip,40,60,50,
Michael,Unstoppable Fleece Grid Full-Zip,75,70,80,"If it had better insulation properties, he would be more likely to buy it."
Sarah,Unstoppable Fleece Grid Full-Zip,60,65,70,If the zipper had a trendy design she would be more likely to buy it.
David,Unstoppable Fleece Grid Full-Zip,40,50,40,
Alex,Unstoppable Fleece Grid Full-Zip,80,75,85,If it had more pockets he would buy it.
Carlos,Unstoppable Fleece Grid Full-Zip,60,50,60,If it had better temperature regulation properties he would buy it.
Lisa,Unstoppable Fleece Grid Full-Zip,50,60,50,
Brandon,Unstoppable Fleece Grid Full-Zip,80,80,80,
Katie,Unstoppable Fleece Grid Full-Zip,75,70,80,"If it had a lifetime warranty, she would be more likely to buy it."
Sean,Unstoppable Fleece Grid Full-Zip,60,60,60,If there was research backing its effectiveness he would be more likely to buy it.
