Name,Product,Score,Price,Design,Reason
Emily,Men's UA Icon Fleece Full-Zip Hoodie,70,60,80,"It needs to have more innovative features, like smart fabric."
Michael,Men's UA Icon Fleece Full-Zip Hoodie,80,70,70,It needs to have better weather-resistant properties.
Sarah,Men's UA Icon Fleece Full-Zip Hoodie,90,80,90,
David,Men's UA Icon Fleece Full-Zip Hoodie,60,70,60,It needs to be recommended by trusted family members.
Alex,Men's UA Icon Fleece Full-Zip Hoodie,75,60,80,It needs to be made from more sustainable and eco-friendly materials.
Carlos,Men's UA Icon Fleece Full-Zip Hoodie,70,60,70,It needs to have data-driven case studies showcasing efficiency.
Lisa,Men's UA Icon Fleece Full-Zip Hoodie,80,70,70,It needs to be highly rated by parenting communities.
Brandon,Men's UA Icon Fleece Full-Zip Hoodie,75,60,70,It needs to be known for durability and functionality.
Katie,Men's UA Icon Fleece Full-Zip Hoodie,90,80,90,
Sean,Men's UA Icon Fleece Full-Zip Hoodie,65,60,60,It needs to have peer-reviewed studies supporting its benefits.
